condition,architecture,prompt_level,topic,topic_key,n_generated,n_human_pool,primary_eligible,generated_route_reuse,human_pool_matched_reuse,human_subsample_mean_q025,human_subsample_mean_q975,excess_route_reuse,human_subsample_nearest_p95,generated_above_human_nearest_p95_rate,human_subsample_upper_tail_fraction
C1-P0,C1,P0,Taxes,taxes,2,26,False,0.3285812931983979,0.29648922217329826,0.19510796815660936,0.4018476781895678,0.032092071025099644,0.3847789636688983,0.0,0.28535732133933034
C1-P0,C1,P0,Trial By Jury,trial by jury,6,31,True,0.5947876054311477,0.39846798174532616,0.336947819155814,0.45467308462250167,0.19631962368582156,0.47699010728118063,1.0,0.0004997501249375312
C2-P0,C2,P0,Buying A Car,buying a car,2,34,False,0.38177260616488606,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.046086756338457324,0.41914711515593306,0.0,0.18490754622688654
C2-P0,C2,P0,Capital Punishment,capital punishment,2,32,False,0.5188045582961509,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.16700744784037203,0.4335307306089381,1.0,0.0004997501249375312
C2-P0,C2,P0,Care Of The Elderly,care of the elderly,5,28,True,0.5449307091591256,0.40681362395466164,0.3586973924771605,0.4464538008513248,0.13811708520446392,0.45888598671658565,1.0,0.0004997501249375312
C2-P0,C2,P0,Child Care,child care,2,28,False,0.49705379022618934,0.350346275924197,0.25961059056465796,0.4363334383628531,0.14670751430199236,0.4278710234865447,1.0,0.0004997501249375312
C2-P0,C2,P0,Crime,crime,4,27,True,0.6570880571408286,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.3299909564318749,0.39870449696493315,1.0,0.0004997501249375312
C2-P0,C2,P0,Drug Testing,drug testing,2,27,False,0.6476467414820706,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.3103013520508646,0.41500073841117646,1.0,0.0004997501249375312
C2-P0,C2,P0,Family Finance,family finance,5,28,True,0.5217330677622066,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.13251057714488568,0.4837259179291912,1.0,0.0009995002498750624
C2-P0,C2,P0,Job Benefits,job benefits,5,26,True,0.5954707273904573,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.27295290779129683,0.38085655516254036,1.0,0.0004997501249375312
C2-P0,C2,P0,Music,music,2,25,False,0.4221818539289076,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.1349932084007165,0.37383391159833645,1.0,0.00399800099950025
C2-P0,C2,P0,News Media,news media,4,31,True,0.5633841369181342,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.19710896546235934,0.4550839709541892,1.0,0.0004997501249375312
C2-P0,C2,P0,Recycling,recycling,3,35,True,0.6023085307647674,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.21315207128139674,0.4880872855198707,1.0,0.0004997501249375312
C2-P0,C2,P0,Taxes,taxes,2,26,False,0.4470156723939839,0.29648922217329826,0.19510796815660936,0.4018476781895678,0.15052645022068561,0.3847789636688983,1.0,0.00399800099950025
C2-P0,C2,P0,Trial By Jury,trial by jury,6,31,True,0.6516679709818657,0.39846798174532616,0.336947819155814,0.45467308462250167,0.2531999892365395,0.47699010728118063,1.0,0.0004997501249375312
C3-P0,C3,P0,Buying A Car,buying a car,2,34,False,0.3547472478885687,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.019061398062139967,0.41914711515593306,0.0,0.35282358820589704
C3-P0,C3,P0,Capital Punishment,capital punishment,2,32,False,0.4665381355338628,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.11474102507808392,0.4335307306089381,1.0,0.004497751124437781
C3-P0,C3,P0,Care Of The Elderly,care of the elderly,5,28,True,0.547396313230877,0.40681362395466164,0.3586973924771605,0.4464538008513248,0.14058268927621537,0.45888598671658565,1.0,0.0004997501249375312
C3-P0,C3,P0,Crime,crime,4,27,True,0.6121926335059684,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.2850955327970147,0.39870449696493315,1.0,0.0004997501249375312
C3-P0,C3,P0,Drug Testing,drug testing,2,27,False,0.4528883757242934,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.11554298629308746,0.41500073841117646,1.0,0.006496751624187906
C3-P0,C3,P0,Family Finance,family finance,5,28,True,0.46195957302981555,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.0727370824124946,0.4837259179291912,0.4,0.05747126436781609
C3-P0,C3,P0,Job Benefits,job benefits,5,26,True,0.5601213745904374,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.237603554991277,0.38085655516254036,1.0,0.0004997501249375312
C3-P0,C3,P0,Music,music,2,25,False,0.3569192278685127,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.06973058234032159,0.37383391159833645,0.0,0.111944027986007
C3-P0,C3,P0,News Media,news media,4,31,True,0.5683813718507968,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.20210620039502203,0.4550839709541892,1.0,0.0004997501249375312
C3-P0,C3,P0,Recycling,recycling,3,35,True,0.5889196285764895,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.1997631690931188,0.4880872855198707,1.0,0.0004997501249375312
C3-P0,C3,P0,Taxes,taxes,2,26,False,0.3002981277624236,0.29648922217329826,0.19510796815660936,0.4018476781895678,0.003808905589125333,0.3847789636688983,0.0,0.4942528735632184
C3-P0,C3,P0,Trial By Jury,trial by jury,6,31,True,0.5498281669849466,0.39846798174532616,0.336947819155814,0.45467308462250167,0.15136018523962047,0.47699010728118063,1.0,0.0004997501249375312
C4-P0,C4,P0,Buying A Car,buying a car,2,34,False,0.4585172978549482,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.12283144802851947,0.41914711515593306,1.0,0.006496751624187906
C4-P0,C4,P0,Capital Punishment,capital punishment,2,32,False,0.5548318057874837,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.20303469533170482,0.4335307306089381,1.0,0.0004997501249375312
C4-P0,C4,P0,Care Of The Elderly,care of the elderly,5,28,True,0.5275560634737934,0.40681362395466164,0.3586973924771605,0.4464538008513248,0.12074243951913172,0.45888598671658565,1.0,0.0004997501249375312
C4-P0,C4,P0,Child Care,child care,2,28,False,0.5925218288191716,0.350346275924197,0.25961059056465796,0.4363334383628531,0.2421755528949746,0.4278710234865447,1.0,0.0004997501249375312
C4-P0,C4,P0,Crime,crime,4,27,True,0.7000272432361225,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.37293014252716883,0.39870449696493315,1.0,0.0004997501249375312
C4-P0,C4,P0,Drug Testing,drug testing,2,27,False,0.42571248181169163,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.08836709238048568,0.41500073841117646,1.0,0.03298350824587706
C4-P0,C4,P0,Family Finance,family finance,5,28,True,0.5687039873108167,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.17948149669349578,0.4837259179291912,1.0,0.0004997501249375312
C4-P0,C4,P0,Job Benefits,job benefits,5,26,True,0.5167103095264012,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.19419248992724075,0.38085655516254036,0.8,0.0004997501249375312
C4-P0,C4,P0,Music,music,2,25,False,0.45937536952252966,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.17218672399433854,0.37383391159833645,1.0,0.0004997501249375312
C4-P0,C4,P0,News Media,news media,4,31,True,0.45972497003133983,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.09344979857556501,0.4550839709541892,0.75,0.010494752623688156
C4-P0,C4,P0,Recycling,recycling,3,35,True,0.5672873237022723,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.17813086421890162,0.4880872855198707,1.0,0.0004997501249375312
C4-P0,C4,P0,Taxes,taxes,2,26,False,0.12698696042321567,0.29648922217329826,0.19510796815660936,0.4018476781895678,-0.1695022617500826,0.3847789636688983,0.0,0.9970014992503748
C4-P0,C4,P0,Trial By Jury,trial by jury,6,31,True,0.5215194845752119,0.39846798174532616,0.336947819155814,0.45467308462250167,0.12305150282988575,0.47699010728118063,0.8333333333333334,0.0004997501249375312
C1-P1,C1,P1,Buying A Car,buying a car,2,34,False,0.43211350309423124,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.0964276532678025,0.41914711515593306,1.0,0.02798600699650175
C1-P1,C1,P1,Capital Punishment,capital punishment,2,32,False,0.5227787438312961,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.1709816333755172,0.4335307306089381,1.0,0.0004997501249375312
C1-P1,C1,P1,Care Of The Elderly,care of the elderly,5,28,True,0.47495351158962784,0.40681362395466164,0.3586973924771605,0.4464538008513248,0.0681398876349662,0.45888598671658565,0.8,0.0004997501249375312
C1-P1,C1,P1,Child Care,child care,2,28,False,0.34948345806471726,0.350346275924197,0.25961059056465796,0.4363334383628531,-0.0008628178594797253,0.4278710234865447,0.0,0.5252373813093453
C1-P1,C1,P1,Crime,crime,4,27,True,0.5273296135790017,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.20023251287004795,0.39870449696493315,1.0,0.0004997501249375312
C1-P1,C1,P1,Drug Testing,drug testing,2,27,False,0.4241205043842069,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.08677511495300094,0.41500073841117646,1.0,0.03298350824587706
C1-P1,C1,P1,Family Finance,family finance,5,28,True,0.4927118153280108,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.10348932471068983,0.4837259179291912,0.8,0.011494252873563218
C1-P1,C1,P1,Job Benefits,job benefits,5,26,True,0.4846833855453728,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.1621655659462124,0.38085655516254036,1.0,0.0004997501249375312
C1-P1,C1,P1,Music,music,2,25,False,0.5283898083313217,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.24120116280313053,0.37383391159833645,1.0,0.0004997501249375312
C1-P1,C1,P1,News Media,news media,4,31,True,0.5659472645765873,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.19967209312081247,0.4550839709541892,1.0,0.0004997501249375312
C1-P1,C1,P1,Recycling,recycling,3,35,True,0.4927740849189804,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.1036176254356097,0.4880872855198707,0.6666666666666666,0.025987006496751622
C1-P1,C1,P1,Taxes,taxes,2,26,False,0.18933871425234594,0.29648922217329826,0.19510796815660936,0.4018476781895678,-0.10715050792095232,0.3847789636688983,0.0,0.9770114942528736
C1-P1,C1,P1,Trial By Jury,trial by jury,6,31,True,0.5676681944815202,0.39846798174532616,0.336947819155814,0.45467308462250167,0.169200212736194,0.47699010728118063,1.0,0.0004997501249375312
C2-P1,C2,P1,Buying A Car,buying a car,2,34,False,0.44614872850976417,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.11046287868333543,0.41914711515593306,1.0,0.017491254372813594
C2-P1,C2,P1,Capital Punishment,capital punishment,2,32,False,0.3515379997396444,0.3517971104557789,0.2656834524696988,0.44152584173262566,-0.0002591107161344919,0.4335307306089381,0.0,0.46676661669165415
C2-P1,C2,P1,Care Of The Elderly,care of the elderly,3,28,True,0.40569205902424726,0.38877744810677384,0.3220079866694051,0.446211845242484,0.016914610917473427,0.44740145149304317,0.0,0.3378310844577711
C2-P1,C2,P1,Child Care,child care,2,28,False,0.5147634848187153,0.350346275924197,0.25961059056465796,0.4363334383628531,0.16441720889451827,0.4278710234865447,1.0,0.0004997501249375312
C2-P1,C2,P1,Crime,crime,4,27,True,0.5294410272708445,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.20234392656189082,0.39870449696493315,1.0,0.0004997501249375312
C2-P1,C2,P1,Drug Testing,drug testing,2,27,False,0.5175292764092749,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.18018388697806897,0.41500073841117646,1.0,0.0004997501249375312
C2-P1,C2,P1,Family Finance,family finance,5,28,True,0.5225818055896998,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.13335931497237885,0.4837259179291912,1.0,0.0009995002498750624
C2-P1,C2,P1,Job Benefits,job benefits,5,26,True,0.4080791502471848,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.08556133064802435,0.38085655516254036,0.8,0.0004997501249375312
C2-P1,C2,P1,Music,music,2,25,False,0.26100674087455944,0.2871886455281911,0.18132379915129515,0.38884186789112907,-0.026181904653631682,0.37383391159833645,0.0,0.670664667666167
C2-P1,C2,P1,News Media,news media,4,31,True,0.4282713195782947,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.061996148122519856,0.4550839709541892,0.5,0.06746626686656672
C2-P1,C2,P1,Recycling,recycling,3,35,True,0.5634336326562043,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.1742771731728336,0.4880872855198707,1.0,0.0004997501249375312
C2-P1,C2,P1,Taxes,taxes,2,26,False,0.18536500681931267,0.29648922217329826,0.19510796815660936,0.4018476781895678,-0.11112421535398559,0.3847789636688983,0.0,0.9770114942528736
C2-P1,C2,P1,Trial By Jury,trial by jury,6,31,True,0.5410525872366341,0.39846798174532616,0.336947819155814,0.45467308462250167,0.14258460549130791,0.47699010728118063,0.6666666666666666,0.0004997501249375312
C3-P1,C3,P1,Buying A Car,buying a car,2,34,False,0.4248726959258713,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.08918684609944255,0.41914711515593306,1.0,0.043478260869565216
C3-P1,C3,P1,Capital Punishment,capital punishment,2,32,False,0.39968719822784793,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.047890087772069045,0.4335307306089381,0.0,0.15992003998001
C3-P1,C3,P1,Care Of The Elderly,care of the elderly,5,28,True,0.5433971144659835,0.40681362395466164,0.3586973924771605,0.4464538008513248,0.13658349051132185,0.45888598671658565,1.0,0.0004997501249375312
C3-P1,C3,P1,Crime,crime,4,27,True,0.5321649289512096,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.2050678282422559,0.39870449696493315,1.0,0.0004997501249375312
C3-P1,C3,P1,Drug Testing,drug testing,2,27,False,0.2645991453777313,0.33734538943120596,0.2235579411604317,0.43397795746714163,-0.07274624405347463,0.41500073841117646,0.0,0.9055472263868066
C3-P1,C3,P1,Family Finance,family finance,5,28,True,0.5142038444723103,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.12498135385498932,0.4837259179291912,1.0,0.0034982508745627187
C3-P1,C3,P1,Job Benefits,job benefits,5,26,True,0.5078557430959689,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.1853379234968085,0.38085655516254036,1.0,0.0004997501249375312
C3-P1,C3,P1,Music,music,2,25,False,0.41977900098251764,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.13259035545432651,0.37383391159833645,1.0,0.00399800099950025
C3-P1,C3,P1,News Media,news media,4,31,True,0.5295790117685433,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.16330384031276846,0.4550839709541892,1.0,0.0004997501249375312
C3-P1,C3,P1,Recycling,recycling,3,35,True,0.5666291005695657,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.17747264108619504,0.4880872855198707,1.0,0.0004997501249375312
C3-P1,C3,P1,Taxes,taxes,2,26,False,0.2870446547240286,0.29648922217329826,0.19510796815660936,0.4018476781895678,-0.009444567449269636,0.3847789636688983,0.0,0.5707146426786607
C3-P1,C3,P1,Trial By Jury,trial by jury,6,31,True,0.5848363002358138,0.39846798174532616,0.336947819155814,0.45467308462250167,0.18636831849048763,0.47699010728118063,1.0,0.0004997501249375312
C4-P1,C4,P1,Buying A Car,buying a car,2,34,False,0.4131341591354182,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.07744830930898944,0.41914711515593306,0.0,0.06146926536731634
C4-P1,C4,P1,Capital Punishment,capital punishment,2,32,False,0.4715096744498134,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.11971256399403452,0.4335307306089381,1.0,0.004497751124437781
C4-P1,C4,P1,Care Of The Elderly,care of the elderly,5,28,True,0.48928619918051586,0.40681362395466164,0.3586973924771605,0.4464538008513248,0.08247257522585422,0.45888598671658565,0.8,0.0004997501249375312
C4-P1,C4,P1,Child Care,child care,2,28,False,0.44081094834500834,0.350346275924197,0.25961059056465796,0.4363334383628531,0.09046467242081135,0.4278710234865447,1.0,0.013993003498250875
C4-P1,C4,P1,Crime,crime,4,27,True,0.5975373886747234,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.2704402879657697,0.39870449696493315,1.0,0.0004997501249375312
C4-P1,C4,P1,Drug Testing,drug testing,2,27,False,0.45181427126903195,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.114468881837826,0.41500073841117646,1.0,0.006496751624187906
C4-P1,C4,P1,Family Finance,family finance,5,28,True,0.5355827755313152,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.14636028491399422,0.4837259179291912,0.8,0.0004997501249375312
C4-P1,C4,P1,Job Benefits,job benefits,5,26,True,0.5407085393928497,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.21819071979368926,0.38085655516254036,1.0,0.0004997501249375312
C4-P1,C4,P1,Music,music,2,25,False,0.32531335731326727,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.03812471178507615,0.37383391159833645,0.0,0.25737131434282856
C4-P1,C4,P1,News Media,news media,4,31,True,0.5131646460777115,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.1468894746219367,0.4550839709541892,0.75,0.0004997501249375312
C4-P1,C4,P1,Recycling,recycling,3,35,True,0.5289714782001619,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.1398150187167912,0.4880872855198707,1.0,0.0024987506246876563
C4-P1,C4,P1,Taxes,taxes,2,26,False,0.4154597935388389,0.29648922217329826,0.19510796815660936,0.4018476781895678,0.11897057136554062,0.3847789636688983,1.0,0.006496751624187906
C4-P1,C4,P1,Trial By Jury,trial by jury,6,31,True,0.5501091375763688,0.39846798174532616,0.336947819155814,0.45467308462250167,0.15164115583104265,0.47699010728118063,1.0,0.0004997501249375312
C1-P2,C1,P2,Buying A Car,buying a car,2,34,False,0.462557008109281,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.12687115828285228,0.41914711515593306,1.0,0.006496751624187906
C1-P2,C1,P2,Capital Punishment,capital punishment,2,32,False,0.44581191838245326,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.09401480792667438,0.4335307306089381,1.0,0.020989505247376312
C1-P2,C1,P2,Care Of The Elderly,care of the elderly,5,28,True,0.4687483526531371,0.40681362395466164,0.3586973924771605,0.4464538008513248,0.06193472869847544,0.45888598671658565,0.4,0.0009995002498750624
C1-P2,C1,P2,Child Care,child care,2,28,False,0.28485735345241636,0.350346275924197,0.25961059056465796,0.4363334383628531,-0.06548892247178062,0.4278710234865447,0.0,0.9155422288855573
C1-P2,C1,P2,Crime,crime,4,27,True,0.498226406607416,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.17112930589846231,0.39870449696493315,1.0,0.0004997501249375312
C1-P2,C1,P2,Drug Testing,drug testing,2,27,False,0.39092260723378647,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.05357721780258051,0.41500073841117646,0.0,0.13043478260869565
C1-P2,C1,P2,Family Finance,family finance,5,28,True,0.4919996758301471,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.10277718521282614,0.4837259179291912,0.8,0.01199400299850075
C1-P2,C1,P2,Job Benefits,job benefits,5,26,True,0.479823002399346,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.15730518280018557,0.38085655516254036,1.0,0.0004997501249375312
C1-P2,C1,P2,Music,music,2,25,False,0.37226365821736074,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.08507501268916962,0.37383391159833645,0.0,0.0559720139930035
C1-P2,C1,P2,News Media,news media,4,31,True,0.41897317943334556,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.05269800797757074,0.4550839709541892,0.0,0.09295352323838081
C1-P2,C1,P2,Recycling,recycling,3,35,True,0.5382194248066902,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.14906296532331947,0.4880872855198707,0.6666666666666666,0.0004997501249375312
C1-P2,C1,P2,Taxes,taxes,2,26,False,0.27157839613534407,0.29648922217329826,0.19510796815660936,0.4018476781895678,-0.024910826037954192,0.3847789636688983,0.0,0.6536731634182908
C1-P2,C1,P2,Trial By Jury,trial by jury,6,31,True,0.5262806790270176,0.39846798174532616,0.336947819155814,0.45467308462250167,0.12781269728169142,0.47699010728118063,0.6666666666666666,0.0004997501249375312
C2-P2,C2,P2,Buying A Car,buying a car,2,34,False,0.4229448487674792,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.08725899894105044,0.41914711515593306,1.0,0.044977511244377814
C2-P2,C2,P2,Capital Punishment,capital punishment,2,32,False,0.367468137809673,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.01567102735389414,0.4335307306089381,0.0,0.36281859070464767
C2-P2,C2,P2,Care Of The Elderly,care of the elderly,4,28,True,0.46938789813338744,0.40055829115561153,0.3450658465559734,0.44807662188922764,0.0688296069777759,0.4587539411594376,0.75,0.0004997501249375312
C2-P2,C2,P2,Child Care,child care,2,28,False,0.3832812307251119,0.350346275924197,0.25961059056465796,0.4363334383628531,0.032934954800914906,0.4278710234865447,0.0,0.24537731134432783
C2-P2,C2,P2,Crime,crime,4,27,True,0.47551979396446176,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.14842269325550805,0.39870449696493315,0.75,0.0004997501249375312
C2-P2,C2,P2,Drug Testing,drug testing,2,27,False,0.5707289718700432,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.23338358243883728,0.41500073841117646,1.0,0.0004997501249375312
C2-P2,C2,P2,Family Finance,family finance,5,28,True,0.43937141170660626,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.050148921089285314,0.4837259179291912,0.0,0.13793103448275862
C2-P2,C2,P2,Job Benefits,job benefits,5,26,True,0.4072430978771949,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.0847252782780345,0.38085655516254036,0.6,0.0004997501249375312
C2-P2,C2,P2,Music,music,2,25,False,0.3510049498435809,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.06381630431538976,0.37383391159833645,0.0,0.1489255372313843
C2-P2,C2,P2,News Media,news media,4,31,True,0.4261813355856973,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.0599061641299225,0.4550839709541892,0.0,0.07396301849075462
C2-P2,C2,P2,Recycling,recycling,3,35,True,0.5036900953954074,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.11453363591203675,0.4880872855198707,1.0,0.015492253873063468
C2-P2,C2,P2,Taxes,taxes,2,26,False,0.3614960226404089,0.29648922217329826,0.19510796815660936,0.4018476781895678,0.06500680046711066,0.3847789636688983,0.0,0.12193903048475763
C2-P2,C2,P2,Trial By Jury,trial by jury,6,31,True,0.4754583246966905,0.39846798174532616,0.336947819155814,0.45467308462250167,0.07699034295136437,0.47699010728118063,0.6666666666666666,0.00399800099950025
C3-P2,C3,P2,Buying A Car,buying a car,2,34,False,0.3506153199708527,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.014929470144423973,0.41914711515593306,0.0,0.3873063468265867
C3-P2,C3,P2,Capital Punishment,capital punishment,2,32,False,0.5318933472589518,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.18009623680317288,0.4335307306089381,1.0,0.0004997501249375312
C3-P2,C3,P2,Care Of The Elderly,care of the elderly,4,28,True,0.4637788094590408,0.40055829115561153,0.3450658465559734,0.44807662188922764,0.06322051830342929,0.4587539411594376,0.75,0.0034982508745627187
C3-P2,C3,P2,Crime,crime,4,27,True,0.6249600801358004,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.2978629794268467,0.39870449696493315,1.0,0.0004997501249375312
C3-P2,C3,P2,Drug Testing,drug testing,2,27,False,0.5534496744566071,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.21610428502540113,0.41500073841117646,1.0,0.0004997501249375312
C3-P2,C3,P2,Family Finance,family finance,5,28,True,0.5496619268340099,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.160439436216689,0.4837259179291912,1.0,0.0004997501249375312
C3-P2,C3,P2,Job Benefits,job benefits,5,26,True,0.6106223785755672,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.2881045589764068,0.38085655516254036,1.0,0.0004997501249375312
C3-P2,C3,P2,Music,music,2,25,False,0.4389652430339607,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.15177659750576955,0.37383391159833645,1.0,0.0004997501249375312
C3-P2,C3,P2,News Media,news media,4,31,True,0.49421961693777644,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.12794444548200162,0.4550839709541892,1.0,0.0004997501249375312
C3-P2,C3,P2,Recycling,recycling,2,35,False,0.46972712593381105,0.363777686701641,0.2714382867552927,0.47439638313051635,0.10594943923217004,0.4556071734158099,1.0,0.025987006496751622
C3-P2,C3,P2,Taxes,taxes,2,26,False,0.2857661743298707,0.29648922217329826,0.19510796815660936,0.4018476781895678,-0.010723047843427536,0.3847789636688983,0.0,0.5812093953023488
C3-P2,C3,P2,Trial By Jury,trial by jury,6,31,True,0.5291576472379851,0.39846798174532616,0.336947819155814,0.45467308462250167,0.13068966549265892,0.47699010728118063,1.0,0.0004997501249375312
C4-P2,C4,P2,Buying A Car,buying a car,2,34,False,0.4158275415365251,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.08014169171009639,0.41914711515593306,0.0,0.05697151424287856
C4-P2,C4,P2,Capital Punishment,capital punishment,2,32,False,0.531396172127252,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.1795990616714731,0.4335307306089381,1.0,0.0004997501249375312
