prompt_level,left_condition,right_condition,left_architecture,right_architecture,conversation_no,topic,topic_key,same_input_route_similarity,architecture_route_displacement,alignment_path,analysis_role
P0,C1-P0,C2-P0,C1,C2,4319,Job Benefits,job benefits,0.46565977563173144,0.5343402243682686,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4628,Job Benefits,job benefits,0.34835989529775546,0.6516401047022445,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4168,Music,music,0.3992377575493409,0.6007622424506591,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4312,Music,music,0.37827786576664013,0.6217221342333599,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4082,News Media,news media,0.3524111807975804,0.6475888192024196,"[[0,0],[1,0],[2,1],[3,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4177,News Media,news media,0.39654461799810214,0.6034553820018979,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4345,News Media,news media,0.44951248226672036,0.5504875177332796,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4611,News Media,news media,0.3667540510583285,0.6332459489416715,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4362,Public Education,public education,0.3874488594931349,0.6125511405068651,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4096,Recycling,recycling,0.4544127778748286,0.5455872221251714,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4329,Recycling,recycling,0.35839468985692535,0.6416053101430746,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4358,Recycling,recycling,0.48731954482183504,0.512680455178165,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4360,Social Change,social change,0.44014822697097045,0.5598517730290296,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,2451,Soviet Union,soviet union,0.25873165692873923,0.7412683430712608,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4333,Taxes,taxes,0.1052853878149036,0.8947146121850964,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4372,Taxes,taxes,0.0626280146111391,0.9373719853888609,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4036,Trial By Jury,trial by jury,0.4449089295856915,0.5550910704143085,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4148,Trial By Jury,trial by jury,0.44466278680750815,0.5553372131924919,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4152,Trial By Jury,trial by jury,0.5107283248848709,0.48927167511512915,"[[0,0],[1,1],[2,1],[3,2],[4,3],[5,4],[6,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4321,Trial By Jury,trial by jury,0.4205753221845506,0.5794246778154494,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4327,Trial By Jury,trial by jury,0.4357320921167933,0.5642679078832067,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4617,Trial By Jury,trial by jury,0.2942853365239928,0.7057146634760072,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,2095,Weather Climate,weather climate,0.22109095955141134,0.7789090404485887,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4382,Air Pollution,air pollution,0.48979251655316347,0.5102074834468365,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4339,Buying A Car,buying a car,0.42577671837483855,0.5742232816251615,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4356,Buying A Car,buying a car,0.36210310507730537,0.6378968949226946,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4133,Capital Punishment,capital punishment,0.5341811243940775,0.4658188756059225,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4341,Capital Punishment,capital punishment,0.41776929986150013,0.5822307001384999,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,3902,Care Of The Elderly,care of the elderly,0.40508382074830585,0.5949161792516942,"[[0,0],[1,0],[2,1],[3,2],[4,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4108,Care Of The Elderly,care of the elderly,0.39392358267579153,0.6060764173242085,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4166,Care Of The Elderly,care of the elderly,0.2042689373257105,0.7957310626742895,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4619,Care Of The Elderly,care of the elderly,0.42074605260547404,0.579253947394526,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4646,Care Of The Elderly,care of the elderly,0.39774832537540983,0.6022516746245902,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4325,Child Care,child care,0.2894460165773751,0.7105539834226249,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4877,Child Care,child care,0.3105925222836311,0.6894074777163689,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4316,Crime,crime,0.5303256527263667,0.46967434727363333,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4320,Crime,crime,0.45397392670103065,0.5460260732989693,"[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4336,Crime,crime,0.32503456591386515,0.6749654340861349,"[[0,0],[1,1],[2,2],[3,2],[4,3],[5,4],[6,5],[7,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4340,Crime,crime,0.4313758461904098,0.5686241538095902,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4048,Drug Testing,drug testing,0.35295441958739715,0.6470455804126028,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4330,Drug Testing,drug testing,0.44548767724826177,0.5545123227517382,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4103,Family Finance,family finance,0.5354375026216851,0.4645624973783149,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4104,Family Finance,family finance,0.29796362447190416,0.7020363755280958,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4353,Family Finance,family finance,0.33767666465551427,0.6623233353444857,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4379,Family Finance,family finance,0.43173983525690707,0.5682601647430929,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4688,Family Finance,family finance,0.38821558444472226,0.6117844155552777,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,3389,Football,football,0.5042480452577043,0.4957519547422957,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4060,Job Benefits,job benefits,0.276826934189626,0.723173065810374,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4109,Job Benefits,job benefits,0.35288260382992254,0.6471173961700775,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4171,Job Benefits,job benefits,0.3478231169789876,0.6521768830210124,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4319,Job Benefits,job benefits,0.36042847047885607,0.6395715295211439,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4628,Job Benefits,job benefits,0.35562877221167244,0.6443712277883276,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4168,Music,music,0.3655431614633755,0.6344568385366245,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4312,Music,music,0.24723193974325108,0.7527680602567489,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4082,News Media,news media,0.30236764937294147,0.6976323506270585,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4177,News Media,news media,0.4093993172701804,0.5906006827298196,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4345,News Media,news media,0.4998499624224658,0.5001500375775342,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4611,News Media,news media,0.4880107565949484,0.5119892434050516,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4362,Public Education,public education,0.4796442248557665,0.5203557751442335,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4096,Recycling,recycling,0.49419474073495506,0.5058052592650449,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4329,Recycling,recycling,0.3759769733076065,0.6240230266923935,"[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4358,Recycling,recycling,0.515994072259613,0.484005927740387,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4360,Social Change,social change,0.37601464525483697,0.623985354745163,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,2451,Soviet Union,soviet union,0.34356805388248424,0.6564319461175158,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4333,Taxes,taxes,0.10889874961496515,0.8911012503850348,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4372,Taxes,taxes,0.23970080548429584,0.7602991945157042,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4036,Trial By Jury,trial by jury,0.45775331806005504,0.542246681939945,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4148,Trial By Jury,trial by jury,0.5235821034678604,0.4764178965321396,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4152,Trial By Jury,trial by jury,0.50237695287248,0.49762304712752004,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4321,Trial By Jury,trial by jury,0.31336212446527556,0.6866378755347244,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4327,Trial By Jury,trial by jury,0.29747509277834316,0.7025249072216568,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,4617,Trial By Jury,trial by jury,0.39800948245154133,0.6019905175484587,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C3-P0,C1,C3,2095,Weather Climate,weather climate,0.3766924641724769,0.6233075358275231,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4382,Air Pollution,air pollution,0.5202498612553332,0.47975013874466677,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4339,Buying A Car,buying a car,0.4580975276584772,0.5419024723415228,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4356,Buying A Car,buying a car,0.42445139167417234,0.5755486083258277,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4133,Capital Punishment,capital punishment,0.475436719667504,0.524563280332496,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4341,Capital Punishment,capital punishment,0.39910955269504644,0.6008904473049536,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,3902,Care Of The Elderly,care of the elderly,0.40034476788091156,0.5996552321190884,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4108,Care Of The Elderly,care of the elderly,0.46308697120581854,0.5369130287941815,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4166,Care Of The Elderly,care of the elderly,0.274684534218282,0.725315465781718,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4619,Care Of The Elderly,care of the elderly,0.3644866796217363,0.6355133203782637,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4646,Care Of The Elderly,care of the elderly,0.4411007106677539,0.5588992893322461,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4325,Child Care,child care,0.3378874439857995,0.6621125560142005,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4877,Child Care,child care,0.21280728980077268,0.7871927101992273,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4316,Crime,crime,0.5535718130775151,0.44642818692248487,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4320,Crime,crime,0.45668946631326024,0.5433105336867398,"[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4336,Crime,crime,0.3738045353468946,0.6261954646531054,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4340,Crime,crime,0.4222601905781772,0.5777398094218228,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4048,Drug Testing,drug testing,0.4202823191989995,0.5797176808010005,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4330,Drug Testing,drug testing,0.40620397198517433,0.5937960280148257,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4103,Family Finance,family finance,0.38179741421894686,0.6182025857810531,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4104,Family Finance,family finance,0.4858095241764495,0.5141904758235505,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4353,Family Finance,family finance,0.32202719271600067,0.6779728072839993,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4379,Family Finance,family finance,0.3508512780415167,0.6491487219584833,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4688,Family Finance,family finance,0.5031972233124675,0.4968027766875325,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,3389,Football,football,0.2823353638439027,0.7176646361560973,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4060,Job Benefits,job benefits,0.32847725741084943,0.6715227425891506,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4109,Job Benefits,job benefits,0.38242516788509007,0.6175748321149099,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4171,Job Benefits,job benefits,0.35120785119016595,0.648792148809834,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4319,Job Benefits,job benefits,0.3319900050196881,0.6680099949803119,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4628,Job Benefits,job benefits,0.2681209838007139,0.7318790161992861,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4168,Music,music,0.4790399733194026,0.5209600266805974,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4312,Music,music,0.46017791249547746,0.5398220875045225,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4082,News Media,news media,0.33011868534440914,0.6698813146555909,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4177,News Media,news media,0.4648097351165058,0.5351902648834942,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4345,News Media,news media,0.34884818682919205,0.651151813170808,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C4-P0,C1,C4,4611,News Media,news media,0.403845942445073,0.596154057554927,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
