label_set,gold,predicted,count,fraction_of_gold
coarse,Answer,Opinion,2,0.0210526316
coarse,Answer,Repair/Hedge,2,0.0210526316
coarse,Backchannel,Answer,2,0.0028248588
coarse,Backchannel,YesNoQuestion,2,0.0028248588
coarse,Opinion,Directive,2,0.0040983607
coarse,Opinion,WhQuestion/OpenQuestion,2,0.0040983607
coarse,WhQuestion/OpenQuestion,Statement,2,0.0327868852
coarse,Abandoned/Other,Agreement,1,0.0031645570
coarse,Abandoned/Other,Directive,1,0.0031645570
coarse,Agreement,Repair/Hedge,1,0.0047619048
coarse,Answer,Abandoned/Other,1,0.0105263158
coarse,Directive,Abandoned/Other,1,0.0588235294
coarse,Directive,YesNoQuestion,1,0.0588235294
coarse,Repair/Hedge,Backchannel,1,0.0192307692
coarse,Repair/Hedge,Directive,1,0.0192307692
coarse,Statement,WhQuestion/OpenQuestion,1,0.0007674597
coarse,WhQuestion/OpenQuestion,Opinion,1,0.0163934426
coarse,WhQuestion/OpenQuestion,Repair/Hedge,1,0.0163934426
